statement,truth_value,category,source
(14 + 33) × 11 = 532,falso,matematicas,variaciones_matematicas
81 - 19 = 68,falso,matematicas,generador_masivo
4³ = 65,falso,matematicas,basico
78 + 22 = 100,verdadero,matematicas,generador_masivo
9² = 81,verdadero,matematicas,variaciones_matematicas
126² = 15876,verdadero,matematicas,variaciones_matematicas
74 × 32 = 2384,falso,matematicas,variaciones_matematicas
61 + 35 = 101,falso,matematicas,generador_masivo
173 ÷ 23 = 14,falso,matematicas,variaciones_matematicas
179 + 79 = 265,falso,matematicas,variaciones_matematicas
√1 = 1,verdadero,matematicas,variaciones_matematicas
(22 + 46) × 34 = 2312,verdadero,matematicas,variaciones_matematicas
68 × 22 = 1502,falso,matematicas,generador_masivo
62 + 20 = 82,verdadero,matematicas,variaciones_matematicas
126 × 26 = 3290,falso,matematicas,variaciones_matematicas
188 + 79 + 14 = 289,falso,matematicas,variaciones_matematicas
Moscú no es la capital de Rusia,falso,geografia,basico
26 ÷ 33 = 3,falso,matematicas,generador_masivo
33 × 29 = 967,falso,matematicas,generador_masivo
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
CSS se usa para estilos,verdadero,tecnologia,generador_masivo
153 - 60 = 111,falso,matematicas,variaciones_matematicas
19 + 12 = 43,falso,matematicas,variaciones_matematicas
177 × 64 = 11346,falso,matematicas,variaciones_matematicas
50 - 41 = 9,verdadero,matematicas,generador_masivo
35² = 1243,falso,matematicas,variaciones_matematicas
El agua congelacion a 13°C,falso,ciencia,generador_masivo
11 × 20 = 222,falso,matematicas,generador_masivo
196 + 56 + 28 = 280,verdadero,matematicas,variaciones_matematicas
Brasilia es la capital de Brasil,verdadero,geografia,generador_masivo
El asteroide (2024 AQ1) tiene un diámetro aproximado de 0.11 km,verdadero,astronomia,nasa
Egipto está en África,verdadero,geografia,generador_masivo
148 + 1 = 150,falso,matematicas,variaciones_matematicas
(89 + 83) × 13 = 2251,falso,matematicas,variaciones_matematicas
167² = 27889,verdadero,matematicas,variaciones_matematicas
91 × 36 = 3276,verdadero,matematicas,generador_masivo
86 × 4 = 344,verdadero,matematicas,variaciones_matematicas
111² = 12321,verdadero,matematicas,variaciones_matematicas
144 + 49 = 198,falso,matematicas,variaciones_matematicas
173 ÷ 23 = 7,verdadero,matematicas,variaciones_matematicas
El cerebro humano pesa aproximadamente 1.4 kg,verdadero,ciencia,generador_masivo
54 × 34 = 1837,falso,matematicas,generador_masivo
182 ÷ 85 = 2,verdadero,matematicas,variaciones_matematicas
4 × 43 = 177,falso,matematicas,generador_masivo
31 + 19 = 50,verdadero,matematicas,generador_masivo
91 - 22 = 69,verdadero,matematicas,generador_masivo
46 + 5 = 51,verdadero,matematicas,generador_masivo
124 + 84 = 227,falso,matematicas,variaciones_matematicas
52 + 17 + 47 = 116,verdadero,matematicas,variaciones_matematicas
194 × 50 = 9700,verdadero,matematicas,variaciones_matematicas
23 + 2 = 28,falso,matematicas,generador_masivo
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
85 + 36 = 124,falso,matematicas,generador_masivo
57 - 23 = 34,verdadero,matematicas,generador_masivo
168² = 28244,falso,matematicas,variaciones_matematicas
87 + 11 = 98,verdadero,matematicas,variaciones_matematicas
91 - 26 = 66,falso,matematicas,generador_masivo
Chicago es una ciudad de Estados Unidos,verdadero,geografia,generador_masivo
91 × 36 = 3280,falso,matematicas,generador_masivo
163 - 84 = 79,verdadero,matematicas,variaciones_matematicas
47 + 37 = 89,falso,matematicas,generador_masivo
159 - 98 = 61,verdadero,matematicas,variaciones_matematicas
El mercurio congelacion a -24°C,falso,ciencia,generador_masivo
83 ÷ 54 = 4,falso,matematicas,variaciones_matematicas
44 × 65 = 2864,falso,matematicas,variaciones_matematicas
69 + 66 = 135,verdadero,matematicas,variaciones_matematicas
13 ÷ 80 = 7,falso,matematicas,variaciones_matematicas
(165 + 15) × 17 = 3064,falso,matematicas,variaciones_matematicas
16 - 42 = -26,verdadero,matematicas,generador_masivo
28 ÷ 16 = 1,verdadero,matematicas,generador_masivo
78 + 45 = 131,falso,matematicas,variaciones_matematicas
La densidad del plomo no es 11.34 g/cm³,falso,ciencia,variaciones_cientificas
199 + 92 = 298,falso,matematicas,variaciones_matematicas
53 + 70 + 46 = 183,falso,matematicas,variaciones_matematicas
46 + 5 = 51,verdadero,matematicas,generador_masivo
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
1 + 16 = 17,verdadero,matematicas,generador_masivo
√4624 = 68,verdadero,matematicas,variaciones_matematicas
77 + 20 = 97,verdadero,matematicas,generador_masivo
La temperatura corporal normal no es 37°C,falso,ciencia,generador_masivo
Hitler llegó al poder en Alemania en 1933,verdadero,historia,generador_masivo
39 × 37 = 1443,verdadero,matematicas,generador_masivo
Los humanos no tienen 5 sentidos,falso,ciencia,generador_masivo
60 × 20 = 1203,falso,matematicas,generador_masivo
El cerebro humano pno esa aproximadamente 1.4 kg,falso,ciencia,generador_masivo
Sídney es una ciudad de Argentina,falso,geografia,generador_masivo
58 ÷ 43 = 1,verdadero,matematicas,generador_masivo
6 + 58 = 64,verdadero,matematicas,variaciones_matematicas
74 + 39 = 121,falso,matematicas,generador_masivo
La velocidad del sonido es 343 m/s,verdadero,ciencia,ciencia_adicional
31 + 69 + 16 = 133,falso,matematicas,variaciones_matematicas
"India tiene una población de 1,388,691,430 habitantes",falso,geografia,generador_masivo
6 ÷ 12 = 2,falso,matematicas,generador_masivo
146 - 58 = 104,falso,matematicas,variaciones_matematicas
18 - 97 = -66,falso,matematicas,variaciones_matematicas
62 + 36 = 98,verdadero,matematicas,generador_masivo
La Antigua Roma existió antes de Cristo,verdadero,historia,basico
Madrid es la capital de España,verdadero,geografia,basico
39² = 1538,falso,matematicas,variaciones_matematicas
La numero avogadro es 6.022e+23,verdadero,ciencia,generador_masivo
140² = 19600,verdadero,matematicas,variaciones_matematicas
187 + 45 + 36 = 285,falso,matematicas,variaciones_matematicas
95 + 9 = 104,verdadero,matematicas,generador_masivo
20 - 40 = -12,falso,matematicas,generador_masivo
√19881 = 141,verdadero,matematicas,variaciones_matematicas
(44 + 19) × 9 = 570,falso,matematicas,variaciones_matematicas
La Guerra Fría duró de 1947 a 1991,verdadero,historia,generador_masivo
π (pi) no es aproximadamente 3.14159,falso,matematicas,matematicas_adicional
190 + 89 = 279,verdadero,matematicas,variaciones_matematicas
La temperatura corporal normal es 37°C,verdadero,ciencia,generador_masivo
132 × 82 = 10838,falso,matematicas,variaciones_matematicas
63 × 30 = 1890,verdadero,matematicas,generador_masivo
150 - 47 = 109,falso,matematicas,variaciones_matematicas
WiFi permite conexión inalámbrica a internet,verdadero,tecnologia,basico
107 + 31 + 19 = 161,falso,matematicas,variaciones_matematicas
28 - 33 = -5,verdadero,matematicas,generador_masivo
67 × 89 = 5963,verdadero,matematicas,variaciones_matematicas
Kubernetes orquesta contenedores,verdadero,tecnologia,tecnologia_adicional
(12 + 54) × 9 = 611,falso,matematicas,variaciones_matematicas
174 × 62 = 10793,falso,matematicas,variaciones_matematicas
√13456 = 120,falso,matematicas,variaciones_matematicas
El asteroide (2023 YV1) tiene un diámetro aproximado de 0.11 km,verdadero,astronomia,nasa
Kafka no es una plataforma de streaming,falso,tecnologia,variaciones_tecnologicas
104² = 10832,falso,matematicas,variaciones_matematicas
El asteroide (2017 WQ1) tiene un diámetro aproximado de 0.06 km,verdadero,astronomia,nasa
(89 + 42) × 49 = 6419,verdadero,matematicas,variaciones_matematicas
54 ÷ 48 = 4,falso,matematicas,generador_masivo
167 + 25 + 34 = 226,verdadero,matematicas,variaciones_matematicas
20 ÷ 36 = 0,verdadero,matematicas,generador_masivo
23 ÷ 13 = 10,falso,matematicas,generador_masivo
Node.js no permite JavaScript en el servidor,falso,tecnologia,variaciones_tecnologicas
109 + 12 = 124,falso,matematicas,variaciones_matematicas
179² = 32041,verdadero,matematicas,variaciones_matematicas
41 + 40 + 32 = 130,falso,matematicas,variaciones_matematicas
38 - 57 = -3,falso,matematicas,variaciones_matematicas
Moscú es la capital de Rusia,verdadero,geografia,basico
75 + 63 + 22 = 160,verdadero,matematicas,variaciones_matematicas
131 - 83 = 48,verdadero,matematicas,variaciones_matematicas
92 × 39 = 3588,verdadero,matematicas,generador_masivo
126² = 15886,falso,matematicas,variaciones_matematicas
"El río Amazonas no tiene 6,400 km de longitud",falso,geografia,variaciones_geograficas
69 + 45 + 48 = 162,verdadero,matematicas,variaciones_matematicas
(64 + 45) × 36 = 3936,falso,matematicas,variaciones_matematicas
143 ÷ 41 = 21,falso,matematicas,variaciones_matematicas
Italia está en Europa,verdadero,geografia,generador_masivo
(64 + 45) × 36 = 3924,verdadero,matematicas,variaciones_matematicas
46 - 71 = -25,verdadero,matematicas,variaciones_matematicas
177 + 100 = 281,falso,matematicas,variaciones_matematicas
156² = 24341,falso,matematicas,variaciones_matematicas
174 ÷ 17 = 26,falso,matematicas,variaciones_matematicas
Los Ángeles es una ciudad de Estados Unidos,verdadero,geografia,generador_masivo
